site,week_start,log10_conc,z_score,spectral_score,severity,n_obs,n_samples_in_week,in_known_wave,network_onset,sustained_shift
Meadowhead - Kilmarnock HMP,2021-09-06,5.474,1.624,0.679,AMBER,17,1,Delta wave,true,false
New Cumnock,2021-09-06,5.541,1.068,0.679,AMBER,26,1,Delta wave,true,false
Newport & Tayport,2021-09-06,6.226,1.677,0.679,AMBER,25,1,Delta wave,true,false
Springfield,2021-09-06,6.088,1.061,0.679,AMBER,27,1,Delta wave,true,false
St Andrews,2021-09-06,5.664,1.125,0.679,AMBER,26,2,Delta wave,true,false
Stonehouse,2021-09-06,5.627,1.227,0.679,AMBER,27,1,Delta wave,true,false
Turriff,2021-09-06,5.769,3.307,0.679,AMBER,14,1,Delta wave,true,false
Whitburn,2021-09-06,6.204,1.124,0.679,AMBER,34,1,Delta wave,true,false
Helensburgh,2021-09-13,4.867,1.541,0.852,AMBER,45,1,Delta wave,false,true
Langholm,2021-09-13,5.667,2.205,0.852,AMBER,10,1,Delta wave,false,true
Meadowhead - Kilmarnock HMP,2021-09-27,6.712,2.708,0.930,AMBER,18,1,Delta wave,false,false
Fraserburgh,2021-12-27,5.776,1.594,0.806,AMBER,44,1,Omicron wave,true,false
Huntly,2021-12-27,5.898,1.545,0.806,AMBER,26,1,Omicron wave,true,false
Inverclyde,2021-12-27,5.496,1.087,0.806,AMBER,53,1,Omicron wave,true,false
Meadowhead,2021-12-27,5.573,1.026,0.806,AMBER,67,1,Omicron wave,true,false
Peterhead,2021-12-27,5.538,1.161,0.806,AMBER,47,1,Omicron wave,true,false
Shieldhall,2021-12-27,5.793,1.074,0.806,AMBER,79,1,Omicron wave,true,false
Stonehouse,2021-12-27,5.614,1.008,0.806,AMBER,36,1,Omicron wave,true,false
Seafield - Restalrig,2022-02-07,6.161,3.447,0.971,AMBER,9,1,,false,false
